Timestamp,X,Y,Z
29-6月-2020 00:01:01.492,-1.426234,6.537954,8.378078
29-6月-2020 00:01:01.591,-0.878074,6.495143,8.239167
29-6月-2020 00:01:01.691,-1.421294,5.714966,7.598349
29-6月-2020 00:01:01.791,-1.684297,5.731731,7.886201
29-6月-2020 00:01:01.890,-1.66858,5.757477,7.805668
29-6月-2020 00:01:01.990,-1.467848,5.837561,7.828421
29-6月-2020 00:01:02.090,-1.488205,5.866002,7.783514
29-6月-2020 00:01:02.190,-1.438209,5.891598,7.76136
29-6月-2020 00:01:02.289,-1.484164,5.839656,7.732021
29-6月-2020 00:01:02.389,-1.59658,5.766459,7.747888
29-6月-2020 00:01:02.489,-1.583258,5.782475,7.787705
29-6月-2020 00:01:02.588,-1.59194,5.80433,7.763605
29-6月-2020 00:01:02.688,-1.527573,5.771548,7.743547
29-6月-2020 00:01:02.788,-1.587599,5.801037,7.803273
29-6月-2020 00:01:02.888,-1.563349,5.826035,7.858059
29-6月-2020 00:01:02.987,-1.51949,5.819299,7.757319
29-6月-2020 00:01:03.087,-1.557511,5.851781,7.76615
29-6月-2020 00:01:03.187,-1.485062,5.839806,7.739655
29-6月-2020 00:01:03.286,-1.643882,5.802534,7.792944
29-6月-2020 00:01:03.386,-1.616189,5.789511,7.80971
29-6月-2020 00:01:03.486,-1.657503,5.751041,7.787556
29-6月-2020 00:01:03.586,-1.614393,5.744604,7.811656
29-6月-2020 00:01:03.685,-1.621279,5.76556,7.802974
29-6月-2020 00:01:03.785,-1.638792,5.745203,7.811356
29-6月-2020 00:01:03.885,-1.68804,5.754633,7.838749
29-6月-2020 00:01:03.984,-1.692381,5.734126,7.804471
29-6月-2020 00:01:04.084,-1.649121,5.722001,7.825726
29-6月-2020 00:01:04.184,-1.679358,5.722899,7.886201
29-6月-2020 00:01:04.284,-1.917812,5.832172,7.85776
29-6月-2020 00:01:04.383,-1.748065,5.704338,7.907756
29-6月-2020 00:01:04.483,-1.647773,5.701194,7.674241
29-6月-2020 00:01:04.583,-1.701362,5.659431,7.855814
29-6月-2020 00:01:04.682,-1.745221,5.705386,7.826924
29-6月-2020 00:01:04.782,-1.733844,5.689519,7.827523
29-6月-2020 00:01:04.882,-1.648672,5.626799,7.830367
29-6月-2020 00:01:04.982,-1.738485,5.609585,7.791597
29-6月-2020 00:01:05.081,-1.727857,5.612429,7.926317
29-6月-2020 00:01:05.181,-1.746568,5.567672,7.927215
29-6月-2020 00:01:05.281,-1.704356,5.645959,7.855215
29-6月-2020 00:01:05.380,-1.723965,5.613028,7.820936
29-6月-2020 00:01:05.480,-1.729354,5.593269,7.955357
29-6月-2020 00:01:05.580,-1.705553,5.615123,7.973918
29-6月-2020 00:01:05.679,-1.647923,5.627997,7.721842
29-6月-2020 00:01:05.779,-1.400039,5.603597,8.044871
29-6月-2020 00:01:05.879,-1.717977,5.372478,8.475226
29-6月-2020 00:01:05.979,-1.414858,5.512587,8.663684
29-6月-2020 00:01:06.078,-1.883833,6.036198,7.252568
29-6月-2020 00:01:06.178,-1.412163,6.523584,7.442823
29-6月-2020 00:01:06.277,-0.891546,6.241421,7.342232
29-6月-2020 00:01:06.377,-2.223925,7.070696,6.575077
29-6月-2020 00:01:06.477,-3.334765,6.656657,6.182144
29-6月-2020 00:01:06.577,-2.211202,5.638175,7.684121
29-6月-2020 00:01:06.677,-2.488126,5.21276,8.431517
29-6月-2020 00:01:06.776,-2.286046,5.772147,7.356752
29-6月-2020 00:01:06.876,-2.650388,5.447173,7.608378
29-6月-2020 00:01:06.976,-3.352129,5.042863,7.918982
29-6月-2020 00:01:07.075,-2.994223,5.197492,7.877369
29-6月-2020 00:01:07.175,-2.540068,5.327122,7.712412
29-6月-2020 00:01:07.275,-2.745291,5.268594,7.843839
29-6月-2020 00:01:07.375,-3.063978,5.20333,7.832013
29-6月-2020 00:01:07.474,-2.594106,5.310956,7.931407
29-6月-2020 00:01:07.574,-3.117417,5.379962,7.605684
29-6月-2020 00:01:07.674,-2.875969,5.488936,7.587721
29-6月-2020 00:01:07.773,-2.85157,5.463638,7.563921
29-6月-2020 00:01:07.873,-2.220033,5.677693,8.020322
29-6月-2020 00:01:07.973,-2.830015,6.25624,7.752828
29-6月-2020 00:01:08.073,-1.057102,5.348378,8.356223
29-6月-2020 00:01:08.172,-2.787952,4.936285,8.049361
29-6月-2020 00:01:08.272,-2.353705,5.922285,7.75687
29-6月-2020 00:01:08.372,-3.949238,5.44852,8.337213
29-6月-2020 00:01:08.471,-3.400179,5.783523,7.082073
29-6月-2020 00:01:08.571,-3.442242,5.375472,7.923922
29-6月-2020 00:01:08.671,-3.686534,5.69371,7.013964
29-6月-2020 00:01:08.771,-4.102818,5.32817,8.001461
29-6月-2020 00:01:08.870,-3.878734,6.036796,6.048023
29-6月-2020 00:01:08.970,-2.915338,5.902675,6.777307
29-6月-2020 00:01:09.070,-2.666555,5.63114,7.419172
29-6月-2020 00:01:09.169,-2.423909,5.627547,7.490573
29-6月-2020 00:01:09.269,-2.25551,5.56393,7.645651
29-6月-2020 00:01:09.369,-2.185156,5.549111,7.663763
29-6月-2020 00:01:09.469,-2.024989,5.576803,7.784263
29-6月-2020 00:01:09.568,-1.599274,5.124144,8.209379
29-6月-2020 00:01:09.668,-1.861828,5.370382,8.202343
29-6月-2020 00:01:09.768,-2.116299,5.122348,7.974816
29-6月-2020 00:01:09.867,-2.358046,4.946464,8.249944
29-6月-2020 00:01:09.967,-1.979184,5.144203,8.341853
29-6月-2020 00:01:10.067,-2.17363,5.033732,8.101752
29-6月-2020 00:01:10.166,-2.362986,4.925956,8.103848
29-6月-2020 00:01:10.266,-2.097738,4.966672,8.248747
29-6月-2020 00:01:10.366,-2.056873,4.989874,8.390801
29-6月-2020 00:01:10.466,-2.355951,4.947063,8.012238
29-6月-2020 00:01:10.565,-2.218537,4.946015,8.21851
29-6月-2020 00:01:10.665,-2.08232,4.989275,8.279583
29-6月-2020 00:01:10.765,-2.269431,4.946164,8.284822
29-6月-2020 00:01:10.864,-2.141447,5.026547,8.052654
29-6月-2020 00:01:10.964,-2.022145,5.099745,8.158335
29-6月-2020 00:01:11.064,-2.200125,5.018614,8.156538
29-6月-2020 00:01:11.164,-2.166445,5.036576,8.14606
29-6月-2020 00:01:11.263,-2.104923,5.026398,8.239466
29-6月-2020 00:01:11.363,-2.109413,5.06367,8.130193
29-6月-2020 00:01:11.463,-2.165846,5.01562,8.10789
29-6月-2020 00:01:11.562,-2.190245,5.038373,8.132738
29-6月-2020 00:01:11.662,-2.121089,5.096003,8.083939
29-6月-2020 00:01:11.762,-2.150578,5.022955,8.158484
29-6月-2020 00:01:11.862,-2.145788,5.100943,8.155491
29-6月-2020 00:01:11.961,-2.264192,5.066963,8.169561
29-6月-2020 00:01:12.061,-2.098336,5.075645,8.18004
29-6月-2020 00:01:12.161,-2.179318,5.055737,8.097411
29-6月-2020 00:01:12.260,-2.182462,5.03987,8.184231
29-6月-2020 00:01:12.360,-2.122436,5.086572,8.161628
29-6月-2020 00:01:12.460,-2.138004,5.043312,8.173753
29-6月-2020 00:01:12.560,-2.134112,5.084626,8.143815
29-6月-2020 00:01:12.659,-2.078278,5.015021,8.244705
29-6月-2020 00:01:12.759,-2.118095,5.051396,8.135732
29-6月-2020 00:01:12.859,-2.113455,5.05424,8.215366
29-6月-2020 00:01:12.958,-2.140848,5.061125,8.135133
29-6月-2020 00:01:13.058,-2.099085,5.056934,8.187075
29-6月-2020 00:01:13.158,-2.167193,5.076693,8.121362
29-6月-2020 00:01:13.258,-2.098486,5.060976,8.138725
29-6月-2020 00:01:13.357,-2.193838,5.050647,8.11268
29-6月-2020 00:01:13.457,-2.170486,5.085974,8.105045
29-6月-2020 00:01:13.557,-2.216142,5.026847,8.137079
29-6月-2020 00:01:13.656,-2.068399,5.077292,8.161927
29-6月-2020 00:01:13.756,-2.24114,5.017716,8.143815
29-6月-2020 00:01:13.856,-2.165547,5.060227,8.163274
29-6月-2020 00:01:13.955,-2.200873,5.056186,8.178094
29-6月-2020 00:01:14.055,-2.177522,5.03942,8.101603
29-6月-2020 00:01:14.155,-2.222728,5.028493,8.08828
29-6月-2020 00:01:14.255,-2.128723,5.067412,8.147557
29-6月-2020 00:01:14.354,-2.176923,5.022506,8.162077
29-6月-2020 00:01:14.454,-2.188898,5.038073,8.165819
29-6月-2020 00:01:14.554,-2.193089,5.059778,8.12675
29-6月-2020 00:01:14.653,-2.258503,5.028344,8.085736
29-6月-2020 00:01:14.753,-2.168091,5.029691,8.156389
29-6月-2020 00:01:14.853,-2.187401,5.056186,8.144114
29-6月-2020 00:01:14.953,-2.185455,5.043612,8.186326
29-6月-2020 00:01:15.052,-2.18815,5.036576,8.194559
29-6月-2020 00:01:15.152,-2.153572,5.05424,8.186027
29-6月-2020 00:01:15.252,-2.239343,5.024751,8.168513
29-6月-2020 00:01:15.351,-2.174977,5.041666,8.156089
29-6月-2020 00:01:15.451,-2.230362,4.999753,8.157886
29-6月-2020 00:01:15.551,-2.179917,5.031487,8.159382
29-6月-2020 00:01:15.651,-2.235451,4.98179,8.164023
29-6月-2020 00:01:15.750,-2.152075,5.032984,8.106692
29-6月-2020 00:01:15.850,-2.182012,4.984634,8.190218
29-6月-2020 00:01:15.950,-2.183659,5.043761,8.137079
29-6月-2020 00:01:16.049,-2.238445,5.005291,8.186027
29-6月-2020 00:01:16.149,-2.173331,5.041067,8.13663
29-6月-2020 00:01:16.249,-2.233805,4.93883,8.183183
29-6月-2020 00:01:16.349,-2.222728,5.061874,8.154892
29-6月-2020 00:01:16.448,-2.265988,4.993466,8.17989
29-6月-2020 00:01:16.548,-2.115251,5.03972,8.18932
29-6月-2020 00:01:16.648,-2.235002,4.978048,8.26626
29-6月-2020 00:01:16.747,-2.281705,5.028044,8.115524
29-6月-2020 00:01:16.847,-2.057771,5.07819,8.212372
29-6月-2020 00:01:16.947,-2.318229,4.961732,8.238119
29-6月-2020 00:01:17.047,-2.124233,5.090764,8.109686
29-6月-2020 00:01:17.146,-2.220183,4.941674,8.306077
29-6月-2020 00:01:17.246,-2.150428,5.035529,8.16522
29-6月-2020 00:01:17.346,-2.237098,5.032535,8.104297
29-6月-2020 00:01:17.445,-2.154769,5.026248,8.140522
29-6月-2020 00:01:17.545,-2.21704,4.946763,8.168364
29-6月-2020 00:01:17.645,-2.163152,5.036127,8.148306
