Timestamp,X,Y,Z
16-7月-2020 12:32:12.787,-1.304837,3.899541,8.818462
16-7月-2020 12:32:12.887,-1.254242,3.727099,9.279503
16-7月-2020 12:32:12.985,-1.376837,3.754792,9.048833
16-7月-2020 12:32:13.086,-1.136287,3.742218,9.024583
16-7月-2020 12:32:13.186,-1.118923,3.784131,8.976833
16-7月-2020 12:32:13.285,-1.203048,3.802692,8.982371
16-7月-2020 12:32:13.385,-1.113235,3.853736,9.071586
16-7月-2020 12:32:13.485,-1.162333,3.748804,9.047785
16-7月-2020 12:32:13.584,-1.114582,3.926635,8.876541
16-7月-2020 12:32:13.684,-1.01459,3.865861,8.980724
16-7月-2020 12:32:13.784,-1.055006,3.91436,8.938363
16-7月-2020 12:32:13.884,-1.07252,3.79401,9.065448
16-7月-2020 12:32:13.983,-1.116977,3.843108,8.966205
16-7月-2020 12:32:14.083,-1.076711,3.849545,8.999136
16-7月-2020 12:32:14.183,-1.09153,3.824846,9.092243
16-7月-2020 12:32:14.282,-1.06294,3.847898,9.036259
16-7月-2020 12:32:14.382,-1.097368,3.845653,8.875493
16-7月-2020 12:32:14.482,-1.127306,3.844904,8.998238
16-7月-2020 12:32:14.581,-1.037642,3.863765,8.958121
16-7月-2020 12:32:14.681,-1.074166,3.817362,8.964259
16-7月-2020 12:32:14.781,-1.08689,3.749104,9.065149
16-7月-2020 12:32:14.881,-1.078956,3.823798,8.983419
16-7月-2020 12:32:14.980,-1.076112,3.810326,8.996591
16-7月-2020 12:32:15.080,-1.045576,3.791316,9.076226
16-7月-2020 12:32:15.180,-1.095422,3.766318,9.000334
16-7月-2020 12:32:15.279,-0.995729,3.77994,8.928633
16-7月-2020 12:32:15.379,-1.015638,3.757037,9.075477
16-7月-2020 12:32:15.479,-1.077609,3.78937,9.057365
16-7月-2020 12:32:15.579,-0.98091,3.758085,9.104816
16-7月-2020 12:32:15.678,-1.036894,3.828139,8.938363
16-7月-2020 12:32:15.778,-1.056802,3.801944,9.041199
16-7月-2020 12:32:15.878,-1.040636,3.816164,9.05033
16-7月-2020 12:32:15.977,-1.051264,3.799698,8.999585
16-7月-2020 12:32:16.077,-1.060395,3.804938,8.947194
16-7月-2020 12:32:16.177,-1.033002,3.784131,8.973689
16-7月-2020 12:32:16.276,-0.952469,3.817961,9.04045
16-7月-2020 12:32:16.376,-1.031954,3.803441,9.099577
16-7月-2020 12:32:16.476,-0.940045,3.757037,8.884624
16-7月-2020 12:32:16.576,-0.95711,3.781736,9.09808
16-7月-2020 12:32:16.675,-1.064436,3.808231,9.069191
16-7月-2020 12:32:16.775,-1.018332,3.813919,8.947643
16-7月-2020 12:32:16.875,-1.026416,3.75569,9.006321
16-7月-2020 12:32:16.974,-1.019081,3.824996,9.000034
16-7月-2020 12:32:17.074,-1.03869,3.805387,8.981623
16-7月-2020 12:32:17.174,-1.01489,3.759432,9.047635
16-7月-2020 12:32:17.273,-0.985101,3.814368,9.015901
16-7月-2020 12:32:17.373,-1.065035,3.764222,8.967402
16-7月-2020 12:32:17.473,-1.010099,3.775449,9.054072
16-7月-2020 12:32:17.572,-1.068029,3.801944,8.906329
16-7月-2020 12:32:17.672,-1.021326,3.772006,9.117241
16-7月-2020 12:32:17.772,-1.097518,3.807482,8.970546
16-7月-2020 12:32:17.872,-0.989293,3.769611,8.970995
16-7月-2020 12:32:17.971,-1.070873,3.787574,9.022787
16-7月-2020 12:32:18.071,-1.073268,3.767665,9.038355
16-7月-2020 12:32:18.171,-1.012644,3.806584,8.903036
16-7月-2020 12:32:18.270,-0.997376,3.762725,9.071586
16-7月-2020 12:32:18.370,-1.071023,3.735781,9.085806
16-7月-2020 12:32:18.470,-1.098566,3.810925,9.014704
16-7月-2020 12:32:18.570,-0.898282,3.786975,9.026529
16-7月-2020 12:32:18.669,-0.922232,3.830684,8.970695
16-7月-2020 12:32:18.769,-0.922981,3.84236,8.932824
16-7月-2020 12:32:18.869,-1.029858,3.84206,9.120384
16-7月-2020 12:32:18.968,-0.989442,3.88547,9.107511
16-7月-2020 12:32:19.068,-1.074316,3.931574,8.914263
16-7月-2020 12:32:19.168,-1.003813,3.990402,8.971743
16-7月-2020 12:32:19.267,-1.066981,4.002527,8.956774
16-7月-2020 12:32:19.367,-1.098865,3.926635,8.87235
16-7月-2020 12:32:19.467,-1.100961,3.895799,9.026529
16-7月-2020 12:32:19.567,-1.087039,4.016448,8.909772
16-7月-2020 12:32:19.666,-1.087039,3.965404,8.932375
16-7月-2020 12:32:19.766,-1.09138,3.96241,8.927435
16-7月-2020 12:32:19.866,-1.087489,4.038302,8.906778
16-7月-2020 12:32:19.965,-0.988544,4.066593,8.935668
16-7月-2020 12:32:20.065,-1.044378,4.062552,8.807535
16-7月-2020 12:32:20.165,-1.00516,4.057762,8.913963
16-7月-2020 12:32:20.264,-0.992885,4.025728,8.898545
16-7月-2020 12:32:20.364,-1.049168,4.060756,8.874146
16-7月-2020 12:32:20.464,-1.065335,3.996839,8.994346
16-7月-2020 12:32:20.564,-0.941991,4.01061,8.901689
16-7月-2020 12:32:20.663,-1.016686,4.10656,8.729397
16-7月-2020 12:32:20.763,-1.0098,4.017196,8.967402
16-7月-2020 12:32:20.863,-1.106349,4.008664,8.964857
16-7月-2020 12:32:20.962,-1.104852,3.996539,8.793165
16-7月-2020 12:32:21.062,-1.045276,4.02483,8.904383
16-7月-2020 12:32:21.162,-1.038989,4.013304,8.858578
16-7月-2020 12:32:21.261,-1.184187,4.013005,8.959319
16-7月-2020 12:32:21.361,-1.071921,4.031566,9.037007
16-7月-2020 12:32:21.461,-1.113235,3.99115,8.821156
16-7月-2020 12:32:21.561,-1.109642,3.975433,8.840017
16-7月-2020 12:32:21.660,-1.106649,3.951932,8.906778
16-7月-2020 12:32:21.760,-1.15874,4.009113,8.870105
16-7月-2020 12:32:21.860,-1.151106,3.964356,8.871751
16-7月-2020 12:32:21.959,-1.097667,3.985462,8.909173
16-7月-2020 12:32:22.059,-1.112487,3.980672,8.931776
16-7月-2020 12:32:22.159,-1.142873,3.94819,8.954529
16-7月-2020 12:32:22.258,-1.111888,3.98666,8.918155
16-7月-2020 12:32:22.358,-1.158291,3.928131,8.859926
16-7月-2020 12:32:22.458,-1.08195,3.974086,8.876092
16-7月-2020 12:32:22.558,-1.161285,3.859724,9.437874
16-7月-2020 12:32:22.657,-1.381028,3.769761,9.092392
16-7月-2020 12:32:22.757,-1.183738,3.98636,8.893905
16-7月-2020 12:32:22.857,-1.114433,3.945645,8.937165
16-7月-2020 12:32:22.956,-1.257834,3.802842,9.052725
16-7月-2020 12:32:23.056,-1.118025,3.875591,8.923543
16-7月-2020 12:32:23.156,-1.103206,3.935316,9.0165
16-7月-2020 12:32:23.255,-1.170566,3.916755,8.962912
16-7月-2020 12:32:23.355,-1.171614,3.882626,8.974138
16-7月-2020 12:32:23.455,-1.084944,3.946094,8.920101
16-7月-2020 12:32:23.555,-1.135389,3.945795,8.907377
16-7月-2020 12:32:23.654,-1.163081,3.946842,8.944949
